,ARTIST,TITLE,METADATA_URL,IMAGE_LINK,IMAGE_NAME,DESCRIPTION,TIMEFRAME,TECHNIQUE
18,"ALSLOOT, Denis van",The Flight into Egypt,https://www.wga.hu/html/a/alsloot/flight_e.html,https://www.wga.hu/detail/a/alsloot/flight_e.jpg,web_gallery_aalslootflight_e.jpg,"The forested landscapes of Alsloot often incorporate views of castles and abbeys located in the Foret de Soignes, near Brussels, a frequent source of inspiration. The building depicted with topographical accuracy in its lakeside setting in the present painting can be identified as the château at Tervueren, an important site tied to the Brussels court. ",1601-1650,"Oil on oak panel, 52 x 67 cm"
19,"ALTDORFER, Albrecht",Saint George in the Forest,https://www.wga.hu/html/a/altdorfe/2/01sgeorg.html,https://www.wga.hu/detail/a/altdorfe/2/01sgeorg.jpg,web_gallery_aaltdorfe201sgeorg.jpg,"Altdorfer was one of Germany's most innovative artists in an era spanning late medieval piety, the Renaissance and the Reformation, and his work reveals many facets of a changing society. It is especially noteworthy for an expressive use of nature and for introducing landscape as a theme of its own in art. In this respect Altdorfer is the central figure of the Danube school.",1501-1550,"Parchment on lime panel, 28 x 22 cm"
20,"ALTDORFER, Albrecht",Rest on the Flight into Egypt,https://www.wga.hu/html/a/altdorfe/2/02egypt.html,https://www.wga.hu/detail/a/altdorfe/2/02egypt.jpg,web_gallery_aaltdorfe202egypt.jpg,"The Virgin is shown resting in a throne-like chair by a richly ornate Renaissance fountain, while Joseph proffers a basket of cherries. Several angels are playing in and around the basin of the fountain, and the child Jesus tries to reach into the water. The fountain-pillar is lavishly decorated with sculpture. The significance of the group of figures at the top - a bearded man with a boy shooting an arrow - is not clear, but appears to relate to ancient mythology. Beyond the fountain the wooded shores of a lake stretch far into the distance. The rocks are crowded with gateways, fortified roads and towers, houses with pointed gables, ruins and decaying roofs - all so intricately interwoven with trees and foliage that it is difficult to detect the relationship of any one building to the other.",1501-1550,"Oil on panel, 57 x 38 cm"
21,"ALTDORFER, Albrecht",Rest on the Flight into Egypt (detail),https://www.wga.hu/html/a/altdorfe/2/02egypt1.html,https://www.wga.hu/detail/a/altdorfe/2/02egypt1.jpg,web_gallery_aaltdorfe202egypt1.jpg,"Several angels are playing in and around the basin of the fountain, and the child Jesus tries to reach into the water.",1501-1550,Oil on panel
22,"ALTDORFER, Albrecht",Christ on the Cross between Mary and St John,https://www.wga.hu/html/a/altdorfe/2/06crucif.html,https://www.wga.hu/detail/a/altdorfe/2/06crucif.jpg,web_gallery_aaltdorfe206crucif.jpg,"Keeling in prayer beneath the cross are the tiny figures of the unknown couple who donated this crucifixion panel, which would have hung above the family tomb in a Regensburg church or cloister. At the foot of the cross, where in other such works one finds the skull of Adam, said to have been buried at Golgotha and whose sins Christ atones for by his death, is their coat of arms, with a hexagram. On either side of Christ, who is represented not in an idealised manner but with the signs of his injuries, the landscape stretches away into the far distance.",1501-1550,"Limewood, 102 x 116 cm"
23,"ALTDORFER, Albrecht",Christ on the Cross between Mary and St John (detail),https://www.wga.hu/html/a/altdorfe/2/06crucix.html,https://www.wga.hu/detail/a/altdorfe/2/06crucix.jpg,web_gallery_aaltdorfe206crucix.jpg,"The picture shows a detail of the landscape behind the cross. Altdorfer is considered to be one of the founders of the German landscape painting that emerges in the early 16th century, the great achievement of which is the representation of nature in its concrete reality, essential for the later development of art.",1501-1550,Limewood
24,"ALTDORFER, Albrecht",Christ on the Cross,https://www.wga.hu/html/a/altdorfe/2/07cruci.html,https://www.wga.hu/detail/a/altdorfe/2/07cruci.jpg,web_gallery_aaltdorfe207cruci.jpg,"Apart from Dürer, Cranach and Grünewald, Altdorfer was the most significant German artist of the sixteenth century: a gifted painter, a graphic artist and the founder of the Danube School. He worked in Regensburg on the Danube, painting altarpieces and Biblical and historical scenes, and he was also the first landscape painter in the modern sense.",1501-1550,"Wood, 75 x 57,5 cm"
25,"ALTDORFER, Albrecht",Christ on the Cross (detail),https://www.wga.hu/html/a/altdorfe/2/07cruci1.html,https://www.wga.hu/detail/a/altdorfe/2/07cruci1.jpg,web_gallery_aaltdorfe207cruci1.jpg,,1501-1550,Wood
26,"ALTDORFER, Albrecht",Christ on the Cross (detail),https://www.wga.hu/html/a/altdorfe/2/07cruci2.html,https://www.wga.hu/detail/a/altdorfe/2/07cruci2.jpg,web_gallery_aaltdorfe207cruci2.jpg,,1501-1550,Wood
27,"ALTDORFER, Albrecht",Mary with the Child,https://www.wga.hu/html/a/altdorfe/2/09mary_c.html,https://www.wga.hu/detail/a/altdorfe/2/09mary_c.jpg,web_gallery_aaltdorfe209mary_c.jpg,The painting was executed after an engraving of Dürer.,1501-1550,"Wood, 49,4 x 35,5 cm"
28,"ALTDORFER, Albrecht",The Birth of the Virgin,https://www.wga.hu/html/a/altdorfe/2/10birth.html,https://www.wga.hu/detail/a/altdorfe/2/10birth.jpg,web_gallery_aaltdorfe210birth.jpg,"No architectural work by Altdorfer is known, but his interest in architecture and his skill in handling intricate problems of perspective are demonstrated by his Birth of the Virgin.",1501-1550,Pine panel
29,"ALTDORFER, Albrecht",St Florian Taking Leave of the Monastery,https://www.wga.hu/html/a/altdorfe/3/4scenes1.html,https://www.wga.hu/detail/a/altdorfe/3/4scenes1.jpg,web_gallery_aaltdorfe34scenes1.jpg,"The two panels in the Uffizi (The Departure of St Florian and The Martyrdom of St Florian) make up a series (incomplete) of seven representing the story of St Florian. The other panels are scattered in various museums: 3 in Nuremberg, 1 in Prague, and 1 in Bern. They are not belong to the St Florian Altarpiece executed by Altdorfer for the abbey church in Sankt Florian near Linz, Austria. It is not known whether this altarpiece was also painted for the same church.",1501-1550,"Oil on wood, 81 x 67 cm"
30,"ALTDORFER, Albrecht",The Martyrdom of St Florian,https://www.wga.hu/html/a/altdorfe/3/4scenes2.html,https://www.wga.hu/detail/a/altdorfe/3/4scenes2.jpg,web_gallery_aaltdorfe34scenes2.jpg,"The two panels in the Uffizi (The Departure of St Florian and The Martyrdom of St Florian) make up a series (incomplete) seven representing the story of St Florian. The other panels are   scattered in various museums: 3 in Nuremberg, 1 in Prague, and 1 in Bern. They are not belong to the St Florian Altarpiece executed by Altdorfer for the abbey church in Sankt Florian near Linz, Austria. It is not known whether this altarpiece was also painted for the same church.",1501-1550,"Oil on wood, 76 x 67 cm"
31,ALTICHIERO da Zevio,St George Slays the Dragon,https://www.wga.hu/html/a/altichie/1/3george2.html,https://www.wga.hu/detail/a/altichie/1/3george2.jpg,web_gallery_aaltichie13george2.jpg,"Six of the seven paintings on the northeast wall (left to the entrance) are devoted to the life and martyrdom of St George, beginning with St George Slays the Dragon in the upper register of the wall. It is characteristic of Altichiero that he did not limit the scene to the figures of the knight slaying the dragon with his lance and the princess; he added a rocky landscape that stretches deep into space at the left of the image and, as a counterpart to this on the right, included a fantastic image of the city of Silene from whose walls the king and his wife, as well as the inhabitants of the city, follow with frightened looks the battle taking place before the city gate.",1351-1400,Fresco
32,ALTICHIERO da Zevio,St George Baptizes the King and His Family (detail),https://www.wga.hu/html/a/altichie/1/3george3.html,https://www.wga.hu/detail/a/altichie/1/3george3.jpg,web_gallery_aaltichie13george3.jpg,"In this scene, most of those present are wearing traditional garb of the period; moreover, several of these figures are presumed to be portraits of contemporaries. Similarities wwith the portrait of Petrarch in a contemporary codex, the man dressed in dark red behind St George can be identified as Petrarch, while the figure beside him on his left may be his secretary and pupil, Lombardo della Seta.",1351-1400,Fresco
33,ALTICHIERO da Zevio,The Beheading of St George,https://www.wga.hu/html/a/altichie/1/3george4.html,https://www.wga.hu/detail/a/altichie/1/3george4.jpg,web_gallery_aaltichie13george4.jpg,This scene is located in the lower register of the northeast wall.,1351-1400,Fresco
34,ALTICHIERO da Zevio,The Beheading of St Catherine,https://www.wga.hu/html/a/altichie/1/4saints2.html,https://www.wga.hu/detail/a/altichie/1/4saints2.jpg,web_gallery_aaltichie14saints2.jpg,"The first two pictures, dedicated to St Catherine, are in very poor condition; they show the saint appearing before Emperor Maxentius to condemn idolatry and her dispute with the philosophers summoned by the emperor and their conversion. These scenes are followed by the picture of an angel intervening to prevent Catherine's torture on the wheel and the beheading of the saint. Both scenes have parallels in the St George cycle, here, however, an oriental milieu, seen in the physiognomies, head coverings, and scimitars, is emphasized still more.",1351-1400,Fresco
35,ALTICHIERO da Zevio,The Funeral of St Lucy,https://www.wga.hu/html/a/altichie/1/4saints3.html,https://www.wga.hu/detail/a/altichie/1/4saints3.jpg,web_gallery_aaltichie14saints3.jpg,"The first Lucy scene in the lower register shows the steadfastness of the saint before the judge Paschasius, the second and unsuccessful attempt to have her brought to a brothel with a team of oxen. These scenes are followed by the martyrdom of the saint, and the concluding scene is her burial.",1351-1400,"Fresco, 237 x 290 cm"
36,ALTICHIERO da Zevio,The Funeral of St Lucy (detail),https://www.wga.hu/html/a/altichie/1/4saints4.html,https://www.wga.hu/detail/a/altichie/1/4saints4.jpg,web_gallery_aaltichie14saints4.jpg,"In the scene of The Funeral of St Lucy the backdrop is a lavishly designed sacred building - the church that was erected over the tomb of the saint, according to the Golden Legend. Numerous citizens dressed in contemporary garb are present at the funeral ceremony, and some of their faced have unmistakably portrait-like features. This applies particularly to the figures in the left half of the image, among whom Giovanni de' Lupi, the brother of Bonifacio, and Giovanni Dondi, the famous doctor who was an intimate friend of Petrarch, are to be recognized.",1351-1400,Fresco
37,ALTICHIERO da Zevio,Scenes from the Life of St James,https://www.wga.hu/html/a/altichie/2/3giacom1.html,https://www.wga.hu/detail/a/altichie/2/3giacom1.jpg,web_gallery_aaltichie23giacom1.jpg,"The Cappella di San Giacomo in the transept of the Basilica di Sant'Antonio was built by the Venetian sculptor and architect Andriolo de'Santi in 1372-76, and it was decorated by Altichiero da Zevio and his workshop.",1351-1400,Fresco
38,ALTICHIERO da Zevio,Virgin Being Worshipped by Members of the Cavalli Family,https://www.wga.hu/html/a/altichie/2/4cavalli.html,https://www.wga.hu/detail/a/altichie/2/4cavalli.jpg,web_gallery_aaltichie24cavalli.jpg,"Before his stay in Padua, the Veronese painter Altichiero painted frescoes in Verona, including  the votive fresco of the Cavalli family in Sant'Anastasia.",1351-1400,Fresco
39,"ALTOMONTE, Martino",Rest on the Flight to Egypt,https://www.wga.hu/html/a/altomont/martino/restflig.html,https://www.wga.hu/detail/a/altomont/martino/restflig.jpg,web_gallery_aaltomontmartinorestflig.jpg,The composition of this painting is close to that of a large altarpiece painted by Altomonte in 1723-24 for high altar of the church of the Carmelites (Karmeliterkirche) in Linz.,1651-1700,"Oil on canvas, 78 x 129 cm"
40,"AMIGONI, Jacopo",Joseph in the Pharaoh's Palace,https://www.wga.hu/html/a/amigoni/joseph.html,https://www.wga.hu/detail/a/amigoni/joseph.jpg,web_gallery_aamigonijoseph.jpg,"Jacopo Amigoni traveled through Europe and finally settled in Spain, where he died after painting portraits, and biblical works, such as Joseph in the Pharaoh's Palace.",1701-1750,"Oil on canvas, 283 x 325 cm"
41,"AMIGONI, Jacopo",Virgin and Child,https://www.wga.hu/html/a/amigoni/virgin_c.html,https://www.wga.hu/detail/a/amigoni/virgin_c.jpg,web_gallery_aamigonivirgin_c.jpg,Amigoni treated this subject about fifteen times during his career. It is difficult to reconstruct a chronological classification of these pieces.,1701-1750,"Oil on canvas, 26 c 21 cm"
42,ANDREA DA FIRENZE,"Bearing of the Cross, Crucifixion, Descent into Hell (north wall)",https://www.wga.hu/html/a/andrea/firenze/spanish/1north.html,https://www.wga.hu/detail/a/andrea/firenze/spanish/1north.jpg,web_gallery_aandreafirenzespanish1north.jpg,"The end wall (the north wall) of the chancel chapel is devoted entirely to three scenes from the Passion of Christ: the Bearing of the Cross at bottom left, the Crucifixion in the middle, and the Descent into Hell at bottom right. The Crucifixion extends over the entire width of the upper wall segment as a multifigure image of Golgotha. In this scene the crosses of the two thieves create recessional axes into space, although the actual space depicted is relatively shallow. The thieves twist convulsively on their crosses while a group of figures runs from an attacking soldier at the right.",1351-1400,Fresco
43,ANDREA DA FIRENZE,Bearing of the Cross,https://www.wga.hu/html/a/andrea/firenze/spanish/1north4.html,https://www.wga.hu/detail/a/andrea/firenze/spanish/1north4.jpg,web_gallery_aandreafirenzespanish1north4.jpg,"This is one of the scenes on the wall opposite to the entrance of the chapel. This wall is covered with scenes of the Passion and Resurrection of Christ. Instead of painting the scenes in many panels, as the Giottesque artists did, Andrea carried out the narration of the Passion in a continuous fashion, with the scenes following as in a film. The Christ Bearing of the Cross is on the lower left side of the wall.",1351-1400,Fresco
44,ANDREA DA FIRENZE,Bearing of the Cross (detail),https://www.wga.hu/html/a/andrea/firenze/spanish/1north5.html,https://www.wga.hu/detail/a/andrea/firenze/spanish/1north5.jpg,web_gallery_aandreafirenzespanish1north5.jpg,At bottom left on the north wall the scene Bearing of the Cross is depicted.,1351-1400,Fresco
45,ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (west wall),https://www.wga.hu/html/a/andrea/firenze/spanish/3west.html,https://www.wga.hu/detail/a/andrea/firenze/spanish/3west.jpg,web_gallery_aandreafirenzespanish3west.jpg,"While the main thematic emphasis on the east wall is on the pastoral and missionary work of the Dominicans, the fresco on the west wall - which is generally known as the Triumph of St Thomas Aquinas, even if this is not an accurate description - has as its fundamental theme the scientific and academic contributions of the order, exemplified in the person of Aquinas.",1351-1400,Fresco
46,ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (detail),https://www.wga.hu/html/a/andrea/firenze/spanish/3west1.html,https://www.wga.hu/detail/a/andrea/firenze/spanish/3west1.jpg,web_gallery_aandreafirenzespanish3west1.jpg,"In the middle of the upper section of the west wall, St Thomas Aquinas, seated on a throne and surrounded by an aureole, presents an open book to the viewer. Floating above the saint's throne are the four cardinal virtues and the three theological virtues.",1351-1400,Fresco
47,ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (detail),https://www.wga.hu/html/a/andrea/firenze/spanish/3west2.html,https://www.wga.hu/detail/a/andrea/firenze/spanish/3west2.jpg,web_gallery_aandreafirenzespanish3west2.jpg,"In the middle of the upper section, St Thomas Aquinas, seated on a throne and surrounded by an aureole, presents an open book to the viewer. Floating above the saint's throne are the four cardinal virtues and the three theological virtues. Seated to the right of Thomas, from the viewer's standpoint, are Solomon, Isaiah, Moses, Luke, and Matthew.",1351-1400,Fresco
48,ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (detail),https://www.wga.hu/html/a/andrea/firenze/spanish/3west3.html,https://www.wga.hu/detail/a/andrea/firenze/spanish/3west3.jpg,web_gallery_aandreafirenzespanish3west3.jpg,"In the lower register of the fresco a uniform row of fourteen thrones extends like a line of choir stalls across the wall. The detail shows part of the left side thrones with female figures whose identification is difficult. They were originally identified by inscriptions which today are lost. According to Vasari they represent the seven theological sciences, but there are other assumptions, too.",1351-1400,Fresco
49,ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (detail),https://www.wga.hu/html/a/andrea/firenze/spanish/3west4.html,https://www.wga.hu/detail/a/andrea/firenze/spanish/3west4.jpg,web_gallery_aandreafirenzespanish3west4.jpg,"In the lower register of the fresco a uniform row of fourteen thrones extends like a line of choir stalls across the wall. The detail shows part of the left side thrones with female figures whose identification is difficult. They were originally identified by inscriptions which today are lost. According to Vasari they represent the seven theological sciences, but there are other assumptions, too.",1351-1400,Fresco
50,ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (detail),https://www.wga.hu/html/a/andrea/firenze/spanish/3west5.html,https://www.wga.hu/detail/a/andrea/firenze/spanish/3west5.jpg,web_gallery_aandreafirenzespanish3west5.jpg,"In the lower register of the fresco a uniform row of fourteen thrones extends like a line of choir stalls across the wall. The detail shows the right side thrones with female figures identified as the personifications of the liberal arts (from right to left: Grammar, Rhetoric, Logic, Music, Astronomy, Geometry, and Arithmetic). The antique and biblical representatives of the liberal arts (Priscian, Cicero, Aristotle, Tubalcain, Ptolemy, Euclid, and Pythagoras) are at their feet. Priscian was a Latin grammarian who lived in the 6th century AD. Cicero was a Roman lawyer, orator and statesman, 1st century BC. Aristotle was a Greek philosopher, 4th century BC, who invented formal logic. Tubalcain was a metalworker, mentioned in Genesis, identified with music possibly through a misunderstanding by Isidore of Seville. Ptolemy was a Greek astronomer, 2nd century AD, whose system prevailed until Copernicus. Euclid was a Greek mathematician, 3rd century BC; his textbook was used for 2000 years. Pythagoras was a Greek philosopher and mathematician, 6th century BC.",1351-1400,Fresco
51,ANDREA DA FIRENZE,"Scenes from the Life of St Peter Martyr (south wall, detail)",https://www.wga.hu/html/a/andrea/firenze/spanish/4south1.html,https://www.wga.hu/detail/a/andrea/firenze/spanish/4south1.jpg,web_gallery_aandreafirenzespanish4south1.jpg,"On the entrance wall (south wall) seven scenes from the life of St Peter Martyr, another saint of the Dominican order, are located. The central section of the wall has largely been destroyed by the addition of a gallery installed during a subsequent period. The thematic accent of the scenes has primarily placed on the saint's posthumous miracles. For example, the fresco to the left of the entrance (shown here) depicts pilgrims pressing toward the tomb of the saint, seeking to be healed of their afflictions through prayer and touching his shrine.",1351-1400,Fresco
52,ANDREA DA FIRENZE,Salvation of Peter (Navicella) (east vault cell),https://www.wga.hu/html/a/andrea/firenze/spanish/5vault2.html,https://www.wga.hu/detail/a/andrea/firenze/spanish/5vault2.jpg,web_gallery_aandreafirenzespanish5vault2.jpg,"On the east vault cell, above the Church as the Path to Salvation, the Salvation to Peter, a free copy of the famous mosaic by Giotto from the Old St. Peter's, known as the Navicella, is depicted. The apostles' ship, threatened by a storm, and Christ's rescue of Peter from drowning, stories that since early Christian times were understood as symbolic of the church, are to be viewed here with the subject of the fresco on the east wall.",1351-1400,Fresco
53,ANDREA DA FIRENZE,The Virgin and Child with Ten Saints,https://www.wga.hu/html/a/andrea/firenze/various/10saint.html,https://www.wga.hu/detail/a/andrea/firenze/various/10saint.jpg,web_gallery_aandreafirenzevarious10saint.jpg,"This panel was probably painted for the Santa Maria Novella in Florence. The ten saints depicted were the titulars of altars in the Santa Maria Novella in the fourteenth century. Although thee painting mirrors the chapels of the church, there is nothing in the iconography to suggest that it was commissioned by any of the families who had patronage of the chapels.",1351-1400,"Egg tempera on wood, 28 x 106 cm"
54,ANDREA DA FIRENZE,The Virgin and Child with Ten Saints (detail),https://www.wga.hu/html/a/andrea/firenze/various/10saint1.html,https://www.wga.hu/detail/a/andrea/firenze/various/10saint1.jpg,web_gallery_aandreafirenzevarious10saint1.jpg,The detail shows the Virgin and Child in the centre of the panel.,1351-1400,Egg tempera on wood
55,ANDREA DA FIRENZE,The Virgin and Child with Ten Saints (detail),https://www.wga.hu/html/a/andrea/firenze/various/10saint2.html,https://www.wga.hu/detail/a/andrea/firenze/various/10saint2.jpg,web_gallery_aandreafirenzevarious10saint2.jpg,The detail shows Sts Mark and Peter Martyr.,1351-1400,Egg tempera on wood
56,ANDREA DA FIRENZE,The Virgin and Child with Ten Saints (detail),https://www.wga.hu/html/a/andrea/firenze/various/10saint3.html,https://www.wga.hu/detail/a/andrea/firenze/various/10saint3.jpg,web_gallery_aandreafirenzevarious10saint3.jpg,The detail shows Sts John the Evangelist and Gregory.,1351-1400,Egg tempera on wood
57,ANDREA DA FIRENZE,The Virgin and Child with Ten Saints (detail),https://www.wga.hu/html/a/andrea/firenze/various/10saint4.html,https://www.wga.hu/detail/a/andrea/firenze/various/10saint4.jpg,web_gallery_aandreafirenzevarious10saint4.jpg,"The detail shows Sts Thomas Aquinas, Dominic and Luke.",1351-1400,Egg tempera on wood
